"Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field9","Field10","Field11","Field12"
"2017","蘆洲區","7.44","38","727","70961","201309","98873","102436","2.84","27075","96.52"
"2017","五股區","34.86","20","515","31473","84919","42844","42075","2.7","2436","101.83"
"2017","泰山區","19.16","17","456","28478","78911","39164","39747","2.77","4118","98.53"
"2017","林口區","54.15","17","428","41953","106101","51647","54454","2.5299999999999998","1959","94.85"
"2017","深坑區","20.58","8","238","9605","23660","11837","11823","2.46","1150","100.12"
"2017","石碇區","144.35","12","107","3379","7683","4223","3460","2.27","53","122.05"
"2017","坪林區","170.84","7","78","2514","6528","3620","2908","2.6","38","124.48"
"2017","三芝區","65.989999999999995","13","254","9483","23200","11946","11254","2.4500000000000002","352","106.15"
"2017","石門區","51.26","9","121","4301","12286","6356","5930","2.86","240","107.18"
"2017","八里區","39.49","10","189","14581","38493","19195","19298","2.64","975","99.47"
"2017","平溪區","71.34","12","115","2302","4719","2612","2107","2.0499999999999998","66","123.97"
"2017","雙溪區","146.25","12","228","3814","8939","4831","4108","2.34","61","117.6"
"2017","貢寮區","99.97","11","191","4405","12552","6375","6177","2.85","126","103.21"
"2017","金山區","49.21","15","201","7105","22015","10853","11162","3.1","447","97.23"
"2017","萬里區","63.38","10","185","7480","22296","11204","11092","2.98","352","101.01"
"2017","烏來區","321.13","5","43","1866","6320","3121","3199","3.39","20","97.56"
